iter	Passed	Remaining
811	1041	241
812	1043	240
813	1045	238
814	1046	237
815	1047	236
816	1047	234
817	1048	233
818	1049	232
819	1050	230
820	1052	229
821	1053	228
822	1055	226
823	1057	225
824	1060	224
825	1061	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1068	214
833	1068	212
834	1070	211
835	1072	210
836	1073	209
837	1074	207
838	1075	206
839	1076	205
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1081	198
845	1082	197
846	1083	195
847	1084	194
848	1087	193
849	1088	192
850	1089	190
851	1090	189
852	1091	188
853	1092	186
854	1093	185
855	1094	184
856	1094	182
857	1095	181
858	1096	179
859	1097	178
860	1098	177
861	1098	175
862	1099	174
863	1101	173
864	1103	172
865	1104	170
866	1104	169
867	1105	168
868	1106	166
869	1106	165
870	1107	164
871	1108	162
872	1109	161
873	1110	160
874	1110	158
875	1111	157
876	1112	155
877	1112	154
878	1113	153
879	1114	151
880	1116	150
881	1117	149
882	1118	148
883	1119	146
884	1120	145
885	1120	144
886	1121	142
887	1122	141
888	1123	140
889	1124	138
890	1125	137
891	1125	136
892	1126	135
893	1127	133
894	1128	132
895	1129	131
896	1130	129
897	1131	128
898	1133	127
899	1133	125
900	1134	124
901	1135	123
902	1136	122
903	1137	120
904	1138	119
905	1138	118
906	1139	116
907	1140	115
908	1141	114
909	1142	112
910	1142	111
911	1143	110
912	1144	109
913	1146	107
914	1147	106
915	1148	105
916	1149	104
917	1150	102
918	1151	101
919	1152	100
920	1153	98
921	1154	97
922	1155	96
923	1156	95
924	1157	93
925	1158	92
926	1159	91
927	1160	90
928	1162	88
929	1163	87
930	1164	86
931	1165	85
932	1166	83
933	1167	82
934	1168	81
935	1169	79
936	1170	78
937	1170	77
938	1171	76
939	1172	74
940	1173	73
941	1174	72
942	1176	71
943	1177	69
944	1179	68
945	1180	67
946	1181	66
947	1182	64
948	1183	63
949	1184	62
950	1185	61
951	1186	59
952	1187	58
953	1188	57
954	1189	56
955	1190	54
956	1192	53
957	1193	52
958	1194	51
959	1195	49
960	1195	48
961	1196	47
962	1197	46
963	1198	44
964	1199	43
965	1200	42
966	1201	40
967	1201	39
968	1202	38
969	1203	37
970	1204	35
971	1205	34
972	1206	33
973	1207	32
974	1208	30
975	1209	29
976	1210	28
977	1211	27
978	1211	25
979	1212	24
980	1213	23
981	1214	22
982	1215	21
983	1216	19
984	1217	18
985	1218	17
986	1219	16
987	1220	14
988	1221	13
989	1223	12
990	1224	11
991	1225	9
992	1226	8
993	1227	7
994	1228	6
995	1228	4
996	1229	3
997	1230	2
998	1231	1
999	1232	0
